Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;1953;26.0;32.1;OK
delegado 1: ;205;32.1;32.1;OK
delegado 2: ;208;32.1;32.1;OK
delegado 3: ;250;32.1;2.6;OK
delegado 4: ;143;2.6;2.6;OK
delegado 5: ;136;2.6;2.6;OK
delegado 6: ;241;2.6;5.7;OK
delegado 7: ;224;5.7;5.7;OK
delegado 8: ;191;5.7;5.7;OK
delegado 9: ;132;6.2;6.2;OK
delegado 10: ;194;6.2;6.2;OK
delegado 11: ;190;6.2;5.9;OK
delegado 12: ;183;5.9;5.9;OK
delegado 13: ;188;5.9;5.9;OK
delegado 14: ;254;5.9;4.7;OK
delegado 15: ;196;4.7;4.7;OK
delegado 16: ;176;4.7;4.7;OK
delegado 17: ;240;4.7;5.0;OK
delegado 18: ;141;5.0;5.0;OK
delegado 19: ;183;5.0;5.0;OK
delegado 20: ;207;5.0;4.9;OK
delegado 21: ;186;4.9;4.9;OK
delegado 22: ;246;4.9;3.8;OK
delegado 23: ;233;3.8;3.8;OK
delegado 24: ;210;3.8;3.8;OK
delegado 25: ;294;4.5;4.5;OK
delegado 26: ;172;4.5;1.5;OK
delegado 27: ;208;1.5;1.5;OK
delegado 28: ;218;1.5;1.5;OK
delegado 29: ;171;6.2;6.2;OK
delegado 30: ;202;6.2;6.2;OK
delegado 31: ;254;6.2;2.8;OK
delegado 32: ;207;2.8;2.8;OK
delegado 33: ;196;2.8;2.8;OK
delegado 34: ;197;2.8;3.9;OK
delegado 35: ;202;3.9;3.9;OK
delegado 36: ;217;3.9;3.9;OK
delegado 37: ;209;3.9;4.9;OK
delegado 38: ;245;4.9;4.9;OK
delegado 39: ;294;4.9;2.5;OK
delegado 40: ;176;2.5;2.5;OK
delegado 41: ;306;2.5;2.8;OK
delegado 42: ;267;2.8;2.8;OK
delegado 43: ;185;2.8;3.0;OK
delegado 44: ;224;3.0;3.0;OK
delegado 45: ;205;3.0;3.0;OK
delegado 46: ;173;2.3;2.3;OK
delegado 47: ;170;2.3;2.3;OK
delegado 48: ;235;2.3;1.8;OK
delegado 49: ;166;1.8;1.8;OK
delegado 50: ;196;1.8;1.8;OK
delegado 51: ;212;1.8;4.7;OK
delegado 52: ;160;4.7;4.7;OK
delegado 53: ;211;4.7;4.7;OK
delegado 54: ;324;4.7;6.9;OK
delegado 55: ;175;6.9;6.9;OK
delegado 56: ;186;6.9;6.9;OK
delegado 57: ;216;6.9;2.9;OK
delegado 58: ;174;2.9;2.9;OK
delegado 59: ;192;2.9;2.9;OK
delegado 60: ;220;2.9;4.6;OK
delegado 61: ;237;4.6;4.6;OK
delegado 62: ;148;4.6;4.6;OK
delegado 63: ;184;4.6;6.5;OK
delegado 64: ;233;6.5;6.5;OK
delegado 65: ;180;6.5;6.5;OK
delegado 66: ;125;6.5;3.1;OK
delegado 67: ;177;3.1;3.1;OK
delegado 68: ;177;3.1;3.1;OK
delegado 69: ;183;3.1;5.0;OK
delegado 70: ;170;5.0;5.0;OK
delegado 71: ;125;5.0;5.0;OK
delegado 72: ;162;5.0;5.7;OK
delegado 73: ;223;5.7;5.7;OK
delegado 74: ;219;5.7;5.7;OK
delegado 75: ;224;6.0;6.0;OK
delegado 76: ;175;6.0;6.0;OK
delegado 77: ;190;6.0;3.5;OK
delegado 78: ;183;3.5;3.5;OK
delegado 79: ;242;3.5;3.5;OK
delegado 80: ;173;3.5;2.8;OK
delegado 81: ;157;2.8;2.8;OK
delegado 82: ;170;2.8;2.8;OK
delegado 83: ;251;2.8;2.9;OK
delegado 84: ;243;2.9;2.9;OK
delegado 85: ;185;2.9;2.9;OK
delegado 86: ;212;5.4;5.4;OK
delegado 87: ;215;5.4;5.4;OK
delegado 88: ;177;5.4;2.2;OK
delegado 89: ;189;2.2;2.2;OK
delegado 90: ;199;2.2;2.2;OK
delegado 91: ;223;2.2;1.1;OK
delegado 92: ;174;1.1;1.1;OK
delegado 93: ;185;1.1;1.1;OK
delegado 94: ;171;1.1;3.8;OK
delegado 95: ;242;3.8;3.8;OK
delegado 96: ;211;3.8;3.7;OK
delegado 97: ;184;3.7;3.7;OK
delegado 98: ;199;3.7;3.7;OK
delegado 99: ;157;3.7;5.5;OK
delegado 100: ;178;5.5;5.5;OK
delegado 101: ;179;5.5;5.5;OK
delegado 102: ;162;5.5;4.5;OK
delegado 103: ;186;4.5;4.5;OK
delegado 104: ;247;4.5;4.5;OK
delegado 105: ;197;3.0;3.0;OK
delegado 106: ;196;3.0;3.0;OK
delegado 107: ;184;3.0;6.6;OK
delegado 108: ;202;6.6;6.6;OK
