Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;2010;26.0;37.2;OK
delegado 1: ;222;37.2;37.2;OK
delegado 2: ;289;37.2;4.0;OK
delegado 3: ;224;4.0;4.0;OK
delegado 4: ;189;4.0;4.0;OK
delegado 5: ;187;4.0;4.5;OK
delegado 6: ;223;4.5;4.5;OK
delegado 7: ;222;4.5;3.8;OK
delegado 8: ;182;3.8;3.8;OK
delegado 9: ;194;3.8;3.8;OK
delegado 10: ;193;3.8;6.5;OK
delegado 11: ;218;6.5;6.5;OK
delegado 12: ;171;6.5;6.5;OK
delegado 13: ;123;6.5;3.2;OK
delegado 14: ;205;3.2;3.2;OK
delegado 15: ;230;3.2;3.2;OK
delegado 16: ;173;3.8;3.8;OK
delegado 17: ;193;3.8;3.8;OK
delegado 18: ;203;3.8;13.3;OK
delegado 19: ;155;13.3;13.3;OK
delegado 20: ;217;13.3;13.3;OK
delegado 21: ;191;13.3;1.7;OK
delegado 22: ;219;1.7;1.7;OK
delegado 23: ;190;1.7;1.7;OK
delegado 24: ;221;1.7;7.5;OK
delegado 25: ;275;7.5;7.5;OK
delegado 26: ;186;7.5;3.6;OK
delegado 27: ;197;3.6;3.6;OK
delegado 28: ;166;3.6;3.6;OK
delegado 29: ;228;3.6;2.8;OK
delegado 30: ;186;2.8;2.8;OK
delegado 31: ;203;2.8;2.8;OK
delegado 32: ;188;2.8;2.3;OK
delegado 33: ;200;2.3;2.3;OK
delegado 34: ;181;2.3;2.3;OK
delegado 35: ;193;2.3;4.1;OK
delegado 36: ;183;4.1;4.1;OK
delegado 37: ;205;4.1;4.1;OK
delegado 38: ;174;4.1;6.9;OK
delegado 39: ;157;6.9;6.9;OK
delegado 40: ;233;6.9;6.9;OK
delegado 41: ;189;6.9;4.6;OK
delegado 42: ;201;4.6;4.6;OK
delegado 43: ;164;4.6;4.6;OK
delegado 44: ;151;4.6;3.8;OK
delegado 45: ;235;3.8;3.8;OK
delegado 46: ;204;3.8;3.8;OK
delegado 47: ;248;6.0;6.0;OK
delegado 48: ;182;6.0;6.0;OK
delegado 49: ;208;6.0;2.7;OK
delegado 50: ;236;2.7;2.7;OK
delegado 51: ;124;2.7;2.7;OK
delegado 52: ;217;2.7;6.5;OK
delegado 53: ;227;6.5;6.5;OK
delegado 54: ;311;6.5;2.6;OK
delegado 55: ;218;2.6;2.6;OK
delegado 56: ;264;2.6;2.1;OK
delegado 57: ;222;2.1;2.1;OK
delegado 58: ;196;2.1;2.1;OK
delegado 59: ;170;2.1;3.4;OK
delegado 60: ;216;3.4;3.4;OK
delegado 61: ;183;3.4;3.4;OK
delegado 62: ;150;3.4;7.2;OK
delegado 63: ;179;7.2;7.2;OK
delegado 64: ;228;7.2;7.2;OK
delegado 65: ;205;7.2;3.9;OK
delegado 66: ;177;3.9;3.9;OK
delegado 67: ;297;3.9;2.9;OK
delegado 68: ;212;2.9;2.9;OK
delegado 69: ;197;2.9;2.9;OK
delegado 70: ;163;2.9;2.3;OK
delegado 71: ;220;2.3;2.3;OK
delegado 72: ;208;2.3;2.3;OK
delegado 73: ;151;5.3;5.3;OK
delegado 74: ;185;5.3;5.3;OK
delegado 75: ;125;5.3;5.9;OK
delegado 76: ;221;5.9;5.9;OK
delegado 77: ;233;5.9;3.8;OK
delegado 78: ;227;3.8;3.8;OK
delegado 79: ;170;3.8;3.8;OK
