Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;1922;26.1;40.3;OK
delegado 1: ;234;40.3;40.3;OK
delegado 2: ;211;40.3;6.9;OK
delegado 3: ;178;6.9;6.9;OK
delegado 4: ;160;6.9;6.9;OK
delegado 5: ;168;6.9;14.8;OK
delegado 6: ;201;14.8;14.8;OK
delegado 7: ;202;14.8;14.8;OK
delegado 8: ;228;14.8;4.8;OK
delegado 9: ;163;4.8;4.8;OK
delegado 10: ;262;4.8;4.8;OK
delegado 11: ;286;3.8;3.8;OK
delegado 12: ;174;3.8;3.8;OK
delegado 13: ;179;3.8;3.8;OK
delegado 14: ;208;3.8;3.8;OK
delegado 15: ;183;3.8;4.1;OK
delegado 16: ;207;4.1;4.1;OK
delegado 17: ;167;4.1;4.1;OK
delegado 18: ;239;4.1;7.1;OK
delegado 19: ;215;7.1;7.1;OK
delegado 20: ;175;7.1;7.1;OK
delegado 21: ;196;7.1;6.3;OK
delegado 22: ;173;6.3;6.3;OK
delegado 23: ;259;6.3;6.3;OK
delegado 24: ;318;3.8;3.8;OK
delegado 25: ;241;3.8;3.2;OK
delegado 26: ;174;3.2;3.2;OK
delegado 27: ;191;3.2;3.2;OK
delegado 28: ;197;3.2;2.9;OK
delegado 29: ;228;2.9;2.9;OK
delegado 30: ;174;2.9;2.9;OK
delegado 31: ;183;2.9;3.4;OK
delegado 32: ;175;3.4;3.4;OK
delegado 33: ;166;3.4;3.4;OK
delegado 34: ;242;3.4;3.4;OK
delegado 35: ;219;3.4;3.4;OK
delegado 36: ;194;3.4;3.4;OK
delegado 37: ;182;3.4;2.2;OK
delegado 38: ;251;2.2;2.2;OK
delegado 39: ;188;2.2;2.2;OK
delegado 40: ;182;3.7;3.7;OK
delegado 41: ;167;3.7;3.7;OK
delegado 42: ;190;3.7;2.5;OK
delegado 43: ;172;2.5;2.5;OK
delegado 44: ;206;2.5;2.5;OK
delegado 45: ;226;2.5;2.8;OK
delegado 46: ;224;2.8;2.8;OK
delegado 47: ;193;2.8;2.8;OK
delegado 48: ;151;2.8;4.7;OK
delegado 49: ;180;4.7;4.7;OK
delegado 50: ;176;4.7;4.7;OK
delegado 51: ;168;4.7;8.2;OK
delegado 52: ;251;8.2;8.2;OK
delegado 53: ;148;8.2;8.2;OK
delegado 54: ;220;8.2;6.5;OK
delegado 55: ;225;6.5;6.5;OK
delegado 56: ;213;6.5;3.8;OK
delegado 57: ;241;3.8;3.8;OK
delegado 58: ;247;3.8;6.9;OK
delegado 59: ;176;6.9;6.9;OK
delegado 60: ;222;6.9;6.9;OK
delegado 61: ;190;6.9;5.1;OK
delegado 62: ;196;5.1;5.1;OK
delegado 63: ;191;5.1;5.1;OK
delegado 64: ;131;5.1;3.8;OK
delegado 65: ;231;3.8;3.8;OK
delegado 66: ;203;3.8;3.8;OK
delegado 67: ;196;4.5;4.5;OK
delegado 68: ;221;4.5;4.5;OK
