Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;2149;28.9;30.8;OK
delegado 2: ;175;30.8;30.8;OK
delegado 3: ;172;30.8;30.8;OK
delegado 4: ;203;30.8;6.0;OK
delegado 5: ;140;6.0;6.0;OK
delegado 6: ;194;6.0;6.0;OK
delegado 7: ;173;6.0;3.2;OK
delegado 8: ;197;3.2;3.2;OK
delegado 9: ;172;3.2;3.2;OK
delegado 10: ;165;3.2;6.6;OK
delegado 11: ;134;6.6;6.6;OK
delegado 12: ;148;6.6;6.6;OK
delegado 13: ;149;6.6;3.6;OK
delegado 14: ;159;3.6;3.6;OK
delegado 15: ;199;3.6;3.6;OK
delegado 16: ;176;3.6;5.6;OK
delegado 17: ;172;5.6;5.6;OK
delegado 18: ;166;5.6;5.6;OK
delegado 19: ;165;5.6;4.5;OK
delegado 20: ;132;4.5;4.5;OK
delegado 21: ;144;4.5;4.5;OK
delegado 22: ;138;5.7;5.7;OK
delegado 23: ;320;5.7;3.8;OK
delegado 24: ;196;3.8;3.8;OK
delegado 25: ;143;3.8;3.8;OK
delegado 26: ;183;3.8;3.2;OK
delegado 27: ;160;3.2;3.2;OK
delegado 28: ;257;3.2;3.2;OK
delegado 29: ;155;3.2;2.9;OK
delegado 30: ;165;2.9;2.9;OK
delegado 31: ;202;2.9;2.9;OK
delegado 32: ;192;2.9;2.4;OK
delegado 33: ;147;2.4;2.4;OK
delegado 34: ;172;2.4;2.4;OK
delegado 35: ;194;2.4;7.1;OK
delegado 36: ;199;7.1;7.1;OK
delegado 37: ;179;7.1;7.1;OK
delegado 38: ;147;7.1;3.7;OK
delegado 39: ;216;3.7;3.7;OK
delegado 40: ;156;3.7;3.7;OK
delegado 41: ;156;3.7;3.7;OK
delegado 42: ;146;3.7;3.7;OK
delegado 43: ;169;3.7;3.7;OK
delegado 44: ;152;3.7;4.1;OK
delegado 45: ;154;4.1;4.1;OK
delegado 46: ;146;4.1;4.1;OK
delegado 47: ;155;4.1;2.8;OK
delegado 48: ;167;2.8;2.8;OK
delegado 49: ;143;1.1;1.1;OK
delegado 50: ;265;1.1;1.1;OK
delegado 51: ;187;1.1;8.0;OK
delegado 52: ;158;8.0;8.0;OK
delegado 53: ;134;8.0;8.0;OK
delegado 54: ;167;8.0;4.9;OK
delegado 55: ;192;4.9;4.9;OK
delegado 56: ;122;4.9;4.9;OK
delegado 57: ;151;4.9;4.1;OK
delegado 58: ;155;4.1;4.1;OK
delegado 59: ;177;4.1;4.1;OK
delegado 60: ;146;4.1;4.8;OK
delegado 61: ;148;4.8;4.8;OK
delegado 62: ;201;4.8;4.8;OK
delegado 63: ;164;4.8;7.7;OK
delegado 64: ;157;7.7;7.7;OK
delegado 65: ;190;7.7;7.7;OK
delegado 66: ;166;7.7;4.4;OK
delegado 67: ;245;4.4;4.4;OK
delegado 68: ;260;4.4;2.0;OK
delegado 69: ;214;2.0;2.0;OK
delegado 70: ;151;2.0;2.0;OK
delegado 71: ;149;2.0;5.1;OK
delegado 72: ;213;5.1;5.1;OK
delegado 73: ;148;5.1;5.1;OK
delegado 74: ;137;5.1;2.6;OK
