Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;2482;27.9;32.5;OK
delegado 2: ;161;32.5;32.5;OK
delegado 3: ;461;32.5;3.5;OK
delegado 5: ;197;3.5;3.5;OK
delegado 6: ;183;3.5;4.6;OK
delegado 7: ;302;4.6;4.6;OK
delegado 8: ;171;4.6;3.6;OK
delegado 9: ;172;3.6;3.6;OK
delegado 10: ;147;3.6;3.6;OK
delegado 11: ;157;3.6;6.6;OK
delegado 12: ;147;6.6;6.6;OK
delegado 13: ;159;6.6;6.6;OK
delegado 14: ;152;6.6;3.5;OK
delegado 15: ;200;3.5;3.5;OK
delegado 16: ;230;3.5;3.5;OK
delegado 17: ;157;3.0;3.0;OK
delegado 18: ;165;3.0;3.0;OK
delegado 19: ;193;3.0;5.2;OK
delegado 20: ;163;5.2;2.8;OK
delegado 21: ;183;2.8;2.8;OK
delegado 22: ;188;2.8;2.8;OK
delegado 23: ;193;2.8;3.5;OK
delegado 24: ;170;3.5;3.5;OK
delegado 25: ;164;3.5;3.5;OK
delegado 26: ;206;3.5;4.9;OK
delegado 27: ;153;4.9;4.9;OK
delegado 28: ;168;4.9;4.9;OK
delegado 29: ;154;4.9;4.7;OK
delegado 30: ;160;4.7;4.7;OK
delegado 31: ;181;4.7;4.7;OK
delegado 32: ;180;4.7;3.1;OK
delegado 33: ;165;3.1;3.1;OK
delegado 34: ;141;3.1;3.1;OK
delegado 35: ;177;3.1;4.7;OK
delegado 36: ;151;4.7;4.7;OK
delegado 37: ;147;4.7;4.7;OK
delegado 38: ;144;4.7;3.6;OK
delegado 39: ;319;3.6;3.6;OK
delegado 40: ;237;3.6;3.7;OK
delegado 41: ;173;3.7;3.7;OK
delegado 42: ;157;3.7;3.7;OK
delegado 43: ;123;3.7;5.7;OK
delegado 44: ;152;5.7;5.7;OK
delegado 45: ;138;5.7;5.7;OK
delegado 46: ;144;5.7;3.6;OK
delegado 47: ;155;3.6;3.6;OK
delegado 48: ;166;3.6;3.6;OK
delegado 49: ;407;3.6;1.9;OK
delegado 50: ;195;1.9;1.9;OK
delegado 51: ;154;1.9;1.9;OK
delegado 52: ;123;1.9;8.2;OK
delegado 53: ;128;8.2;8.2;OK
delegado 54: ;198;8.2;8.2;OK
delegado 55: ;166;8.2;5.9;OK
delegado 56: ;150;5.9;5.9;OK
delegado 57: ;262;5.9;5.9;OK
delegado 58: ;141;5.9;4.8;OK
delegado 59: ;143;4.8;4.8;OK
delegado 60: ;145;4.8;4.8;OK
delegado 61: ;160;4.8;5.7;OK
delegado 62: ;109;5.7;5.7;OK
delegado 63: ;166;5.7;5.7;OK
delegado 64: ;165;5.7;8.7;OK
delegado 65: ;179;8.7;8.7;OK
delegado 66: ;145;8.7;8.7;OK
delegado 67: ;176;8.7;4.5;OK
delegado 68: ;140;4.5;4.5;OK
delegado 69: ;175;4.5;4.5;OK
delegado 70: ;157;4.5;5.3;OK
delegado 71: ;162;5.3;5.3;OK
delegado 72: ;188;5.3;5.3;OK
delegado 73: ;165;5.3;6.4;OK
delegado 74: ;188;6.4;6.4;OK
delegado 75: ;128;6.4;6.4;OK
delegado 76: ;113;6.4;5.2;OK
delegado 77: ;152;5.2;5.2;OK
delegado 78: ;324;5.2;2.9;OK
delegado 79: ;156;2.9;2.9;OK
delegado 80: ;148;2.9;2.9;OK
delegado 81: ;181;2.9;4.7;OK
delegado 82: ;121;4.7;4.7;OK
delegado 83: ;174;4.7;4.7;OK
delegado 84: ;170;4.7;4.9;OK
delegado 85: ;149;4.9;4.9;OK
delegado 86: ;187;4.9;4.9;OK
delegado 87: ;128;4.9;3.5;OK
delegado 88: ;835;3.5;0.9;OK
delegado 89: ;228;0.9;0.9;OK
delegado 90: ;200;0.9;0.9;OK
delegado 91: ;172;3.7;3.7;OK
delegado 92: ;163;3.7;3.7;OK
delegado 93: ;161;3.7;2.7;OK
delegado 94: ;636;2.7;2.3;OK
delegado 95: ;148;2.3;2.3;OK
delegado 96: ;152;2.3;2.3;OK
delegado 97: ;144;2.3;11.4;OK
delegado 98: ;139;11.4;11.4;OK
delegado 99: ;186;11.4;11.4;OK
delegado 100: ;173;11.4;6.6;OK
delegado 101: ;157;6.6;6.6;OK
delegado 102: ;168;6.6;5.7;OK
delegado 103: ;241;5.7;5.7;OK
delegado 104: ;206;5.7;4.6;OK
delegado 105: ;192;4.6;4.6;OK
delegado 106: ;128;4.6;4.6;OK
delegado 107: ;187;4.6;3.6;OK
delegado 108: ;145;3.6;3.6;OK
delegado 109: ;214;3.6;3.6;OK
delegado 110: ;135;3.6;9.3;OK
delegado 111: ;148;9.3;9.3;OK
delegado 112: ;274;9.3;8.5;OK
delegado 113: ;189;8.5;8.5;OK
delegado 114: ;182;8.5;8.5;OK
delegado 115: ;145;8.5;3.8;OK
delegado 116: ;132;3.8;3.8;OK
delegado 117: ;173;3.8;3.8;OK
delegado 118: ;169;3.8;3.4;OK
delegado 119: ;136;3.4;3.4;OK
delegado 120: ;194;3.4;3.4;OK
delegado 121: ;134;3.4;4.2;OK
delegado 122: ;163;4.2;4.2;OK
delegado 123: ;136;4.2;4.2;OK
