Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 1: ;2325;0.0;27.8;OK
delegado 2: ;179;27.8;27.8;OK
delegado 3: ;328;27.8;3.1;OK
delegado 4: ;217;3.1;3.1;OK
delegado 5: ;281;3.1;2.0;OK
delegado 6: ;250;2.0;2.0;OK
delegado 7: ;234;2.0;2.1;OK
delegado 8: ;526;2.1;1.7;OK
delegado 9: ;198;1.7;1.7;OK
delegado 10: ;208;1.7;1.7;OK
delegado 11: ;267;1.7;4.5;OK
delegado 12: ;298;4.5;4.5;OK
delegado 13: ;194;4.5;6.5;OK
delegado 14: ;235;6.5;6.5;OK
delegado 15: ;224;6.5;8.1;OK
delegado 16: ;439;8.1;8.1;OK
delegado 17: ;227;8.1;3.1;OK
delegado 18: ;298;3.1;3.1;OK
delegado 19: ;503;2.7;0.7;OK
delegado 20: ;234;0.7;0.7;OK
delegado 21: ;170;0.7;0.7;OK
delegado 22: ;179;0.7;2.8;OK
delegado 23: ;214;2.8;2.8;OK
delegado 24: ;676;2.8;2.0;OK
delegado 25: ;183;2.0;2.0;OK
delegado 26: ;163;2.0;2.0;OK
delegado 27: ;215;2.0;5.2;OK
delegado 28: ;222;5.2;5.2;OK
delegado 29: ;147;5.2;5.2;OK
delegado 30: ;151;5.2;3.2;OK
delegado 31: ;185;3.2;3.2;OK
delegado 32: ;146;3.2;3.2;OK
delegado 33: ;183;3.2;4.5;OK
delegado 34: ;163;4.5;4.5;OK
delegado 35: ;175;4.5;4.5;OK
delegado 36: ;202;4.5;4.3;OK
delegado 37: ;194;4.3;4.3;OK
delegado 38: ;165;4.3;4.3;OK
delegado 39: ;153;4.3;3.9;OK
delegado 40: ;155;3.9;3.9;OK
delegado 41: ;219;3.9;3.9;OK
delegado 42: ;206;3.9;5.6;OK
delegado 43: ;189;5.6;5.6;OK
delegado 44: ;221;5.6;5.6;OK
delegado 45: ;188;5.6;3.9;OK
delegado 46: ;203;3.9;3.9;OK
delegado 47: ;184;3.9;3.9;OK
delegado 48: ;215;3.9;3.3;OK
delegado 49: ;190;3.3;3.3;OK
delegado 50: ;214;3.3;3.3;OK
delegado 51: ;309;3.3;5.7;OK
delegado 52: ;187;5.7;5.7;OK
delegado 53: ;229;5.7;5.7;OK
delegado 54: ;219;6.7;6.7;OK
delegado 55: ;198;6.7;6.7;OK
delegado 56: ;170;4.5;4.5;OK
delegado 57: ;237;4.5;4.5;OK
delegado 58: ;1266;1.1;0.6;OK
delegado 59: ;1137;0.6;1.3;OK
delegado 60: ;195;1.3;1.3;OK
delegado 61: ;223;1.3;1.3;OK
delegado 62: ;291;8.4;8.4;OK
delegado 63: ;233;8.4;1.3;OK
delegado 64: ;147;1.3;1.3;OK
delegado 65: ;136;1.3;1.3;OK
delegado 66: ;191;1.3;6.2;OK
delegado 67: ;135;6.2;6.2;OK
delegado 68: ;154;6.2;6.2;OK
delegado 69: ;160;6.2;2.1;OK
delegado 70: ;165;2.1;2.1;OK
delegado 71: ;160;2.1;2.1;OK
delegado 72: ;184;2.1;6.5;OK
delegado 73: ;187;6.5;6.5;OK
delegado 74: ;174;6.5;6.5;OK
delegado 75: ;173;6.5;4.9;OK
delegado 76: ;172;4.9;4.9;OK
delegado 77: ;173;4.9;4.9;OK
delegado 78: ;169;4.9;4.5;OK
delegado 79: ;152;4.5;4.5;OK
delegado 80: ;171;4.5;4.5;OK
delegado 81: ;156;4.5;4.0;OK
delegado 82: ;151;4.0;4.0;OK
delegado 83: ;165;4.0;4.0;OK
delegado 84: ;332;4.0;3.1;OK
delegado 85: ;168;3.1;3.1;OK
delegado 86: ;213;3.1;3.1;OK
delegado 87: ;161;3.1;3.7;OK
delegado 88: ;158;3.7;3.7;OK
delegado 89: ;199;3.7;3.7;OK
delegado 90: ;190;3.7;4.2;OK
delegado 91: ;184;4.2;4.2;OK
delegado 92: ;213;4.2;2.7;OK
delegado 93: ;536;2.7;2.0;OK
delegado 94: ;172;2.0;2.0;OK
delegado 95: ;161;2.0;2.0;OK
delegado 96: ;129;2.0;4.8;OK
delegado 97: ;144;4.8;4.8;OK
delegado 98: ;151;4.8;4.8;OK
delegado 99: ;142;4.8;8.7;OK
delegado 100: ;205;8.7;8.7;OK
delegado 101: ;198;8.7;8.7;OK
delegado 102: ;172;8.7;3.4;OK
delegado 103: ;177;3.4;3.4;OK
delegado 104: ;142;3.4;3.4;OK
delegado 105: ;178;3.4;3.9;OK
delegado 106: ;153;3.9;3.9;OK
delegado 107: ;172;3.9;3.9;OK
delegado 108: ;161;3.9;6.5;OK
delegado 109: ;188;6.5;6.5;OK
delegado 110: ;160;6.5;6.5;OK
delegado 111: ;191;6.5;6.0;OK
delegado 112: ;175;6.0;6.0;OK
delegado 113: ;243;6.0;6.0;OK
delegado 114: ;200;6.0;2.7;OK
delegado 115: ;155;2.7;2.7;OK
delegado 116: ;160;2.7;2.7;OK
delegado 117: ;206;2.7;6.3;OK
delegado 118: ;216;6.3;6.3;OK
delegado 119: ;208;6.3;6.3;OK
delegado 120: ;174;4.6;4.6;OK
delegado 121: ;157;4.6;4.6;OK
delegado 122: ;208;4.6;4.4;OK
delegado 123: ;197;4.4;4.4;OK
delegado 124: ;189;4.4;4.4;OK
delegado 125: ;186;4.4;4.1;OK
delegado 126: ;169;4.1;4.1;OK
delegado 127: ;235;4.1;4.1;OK
delegado 128: ;192;4.1;6.7;OK
delegado 129: ;169;6.7;6.7;OK
delegado 130: ;178;6.7;6.7;OK
delegado 131: ;188;6.7;1.8;OK
delegado 132: ;163;1.8;1.8;OK
delegado 133: ;171;1.8;1.8;OK
