Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;1898;26.0;29.8;OK
delegado 1: ;202;29.8;29.8;OK
delegado 2: ;251;29.8;10.5;OK
delegado 3: ;136;10.5;10.5;OK
delegado 4: ;154;10.5;10.5;OK
delegado 5: ;214;10.5;5.2;OK
delegado 6: ;188;5.2;5.2;OK
delegado 7: ;211;5.2;5.2;OK
delegado 8: ;200;5.2;5.6;OK
delegado 9: ;229;5.6;5.6;OK
delegado 10: ;189;5.6;5.6;OK
delegado 11: ;178;5.6;6.2;OK
delegado 12: ;207;6.2;6.2;OK
delegado 13: ;221;6.2;6.2;OK
delegado 14: ;276;4.6;4.6;OK
delegado 15: ;176;4.6;4.6;OK
delegado 16: ;205;2.2;2.2;OK
delegado 17: ;211;2.2;2.2;OK
delegado 18: ;162;2.2;4.1;OK
delegado 19: ;174;4.1;4.1;OK
delegado 20: ;193;4.1;4.1;OK
delegado 21: ;266;4.1;3.7;OK
delegado 22: ;218;3.7;3.7;OK
delegado 23: ;174;3.7;3.7;OK
delegado 24: ;204;3.7;9.0;OK
delegado 25: ;195;9.0;9.0;OK
delegado 26: ;216;9.0;9.0;OK
delegado 27: ;325;9.0;2.8;OK
delegado 28: ;166;2.8;2.8;OK
delegado 29: ;268;2.8;2.8;OK
delegado 30: ;153;3.8;3.8;OK
delegado 31: ;137;3.8;3.8;OK
delegado 32: ;207;3.8;2.7;OK
delegado 33: ;177;2.7;2.7;OK
delegado 34: ;224;2.7;2.7;OK
delegado 35: ;205;2.7;5.0;OK
delegado 36: ;213;5.0;5.0;OK
delegado 37: ;189;5.0;5.0;OK
delegado 38: ;159;5.0;2.4;OK
delegado 39: ;179;2.4;2.4;OK
delegado 40: ;240;2.4;2.4;OK
delegado 41: ;223;2.4;4.8;OK
delegado 42: ;212;4.8;4.8;OK
delegado 43: ;168;4.8;4.8;OK
delegado 44: ;221;4.8;3.4;OK
delegado 45: ;172;3.4;3.4;OK
delegado 46: ;172;3.4;3.4;OK
delegado 47: ;239;3.4;5.2;OK
delegado 48: ;195;5.2;5.2;OK
delegado 49: ;178;5.2;5.2;OK
delegado 50: ;200;5.2;2.3;OK
delegado 51: ;211;2.3;2.3;OK
delegado 52: ;199;2.3;2.3;OK
delegado 53: ;224;2.3;4.8;OK
delegado 54: ;205;4.8;4.8;OK
delegado 55: ;166;4.8;4.8;OK
delegado 56: ;215;4.8;5.8;OK
delegado 57: ;203;5.8;5.8;OK
delegado 58: ;171;5.8;5.8;OK
delegado 59: ;229;5.8;3.4;OK
delegado 60: ;202;3.4;3.4;OK
delegado 61: ;284;3.4;4.2;OK
delegado 62: ;209;4.2;4.2;OK
delegado 63: ;209;4.2;4.2;OK
delegado 64: ;242;4.2;2.6;OK
delegado 65: ;174;2.6;2.6;OK
delegado 66: ;235;2.6;2.6;OK
delegado 67: ;277;2.6;3.0;OK
delegado 68: ;173;3.0;3.0;OK
delegado 69: ;185;3.0;3.0;OK
delegado 70: ;190;3.0;3.0;OK
delegado 71: ;124;3.0;3.0;OK
delegado 72: ;222;3.0;3.0;OK
delegado 73: ;187;3.0;3.1;OK
delegado 74: ;148;3.1;3.1;OK
delegado 75: ;247;3.1;3.1;OK
delegado 76: ;231;3.1;4.3;OK
delegado 77: ;175;4.3;4.3;OK
delegado 78: ;255;4.3;4.3;OK
delegado 79: ;152;3.8;3.8;OK
delegado 80: ;153;3.8;3.8;OK
delegado 81: ;249;3.8;4.4;OK
delegado 82: ;199;4.4;4.4;OK
delegado 83: ;177;4.4;4.4;OK
delegado 84: ;161;4.4;1.8;OK
delegado 85: ;210;1.8;1.8;OK
delegado 86: ;230;1.8;1.8;OK
delegado 87: ;126;6.7;6.7;OK
delegado 88: ;190;6.7;6.7;OK
delegado 89: ;213;6.7;1.9;OK
delegado 90: ;178;1.9;1.9;OK
delegado 91: ;170;1.9;1.9;OK
delegado 92: ;288;1.9;4.2;OK
delegado 93: ;236;4.2;4.2;OK
delegado 94: ;164;4.2;4.2;OK
delegado 95: ;178;4.6;4.6;OK
delegado 96: ;167;4.6;4.6;OK
delegado 97: ;197;4.6;4.4;OK
delegado 98: ;166;4.4;4.4;OK
delegado 99: ;212;4.4;4.4;OK
delegado 100: ;182;4.4;4.8;OK
delegado 101: ;235;4.8;4.8;OK
delegado 102: ;165;4.8;4.8;OK
delegado 103: ;178;4.8;4.1;OK
delegado 104: ;175;4.1;4.1;OK
delegado 105: ;162;4.1;4.1;OK
delegado 106: ;180;4.1;5.1;OK
delegado 107: ;193;5.1;5.1;OK
delegado 108: ;226;5.1;5.1;OK
delegado 109: ;134;5.1;6.7;OK
delegado 110: ;245;6.7;6.7;OK
delegado 111: ;140;6.7;6.7;OK
delegado 112: ;139;6.7;7.6;OK
delegado 113: ;157;7.6;7.6;OK
delegado 114: ;194;7.6;7.6;OK
delegado 115: ;173;7.6;4.5;OK
delegado 116: ;325;4.5;4.5;OK
delegado 117: ;160;4.5;3.5;OK
delegado 118: ;273;3.5;3.5;OK
delegado 119: ;222;3.5;4.2;OK
delegado 120: ;149;4.2;4.2;OK
delegado 121: ;219;4.2;4.2;OK
delegado 122: ;243;4.2;3.3;OK
delegado 123: ;179;3.3;3.3;OK
delegado 124: ;206;3.3;3.3;OK
delegado 125: ;194;3.3;8.8;OK
delegado 126: ;284;8.8;8.8;OK
delegado 127: ;200;8.8;5.7;OK
delegado 128: ;246;5.7;5.7;OK
delegado 129: ;223;5.7;3.6;OK
delegado 130: ;202;3.6;3.6;OK
delegado 131: ;181;3.6;3.6;OK
delegado 132: ;213;3.6;4.0;OK
delegado 133: ;197;4.0;4.0;OK
delegado 134: ;175;4.0;4.0;OK
delegado 135: ;217;4.0;3.4;OK
delegado 136: ;167;3.4;3.4;OK
delegado 137: ;153;3.4;3.4;OK
delegado 138: ;188;3.4;3.9;OK
delegado 139: ;335;3.9;3.9;OK
delegado 140: ;199;3.9;1.9;OK
delegado 141: ;193;1.9;1.9;OK
delegado 142: ;182;1.9;1.9;OK
delegado 143: ;167;1.9;4.3;OK
delegado 144: ;165;4.3;4.3;OK
delegado 145: ;223;4.3;4.3;OK
delegado 146: ;165;4.3;5.5;OK
delegado 147: ;165;5.5;5.5;OK
delegado 148: ;197;5.5;5.5;OK
delegado 149: ;165;5.5;3.1;OK
delegado 150: ;221;3.1;3.1;OK
delegado 151: ;215;3.1;3.1;OK
delegado 152: ;173;4.5;4.5;OK
delegado 153: ;234;4.5;4.5;OK
delegado 154: ;200;4.5;1.7;OK
delegado 155: ;220;1.7;1.7;OK
delegado 156: ;227;1.7;3.8;OK
delegado 157: ;195;3.8;3.8;OK
delegado 158: ;211;3.8;3.8;OK
delegado 159: ;260;3.8;3.1;OK
delegado 160: ;161;3.1;3.1;OK
delegado 161: ;226;3.1;3.1;OK
delegado 162: ;169;3.1;3.0;OK
delegado 163: ;213;3.0;3.0;OK
delegado 164: ;189;3.0;3.0;OK
delegado 165: ;170;3.0;2.9;OK
delegado 166: ;171;2.9;2.9;OK
delegado 167: ;157;2.9;2.9;OK
delegado 168: ;158;2.9;4.0;OK
delegado 169: ;186;4.0;4.0;OK
delegado 170: ;188;4.0;4.0;OK
delegado 171: ;242;4.0;2.2;OK
delegado 172: ;212;2.2;2.2;OK
delegado 173: ;170;2.2;2.2;OK
delegado 174: ;744;2.2;2.2;OK
delegado 175: ;899;2.2;0.8;OK
delegado 176: ;893;0.8;0.8;OK
delegado 177: ;447;0.8;0.8;OK
delegado 178: ;217;0.8;1.6;OK
delegado 179: ;268;1.6;1.6;OK
delegado 180: ;165;1.6;3.1;OK
delegado 181: ;176;3.1;3.1;OK
delegado 182: ;231;3.1;3.1;OK
delegado 183: ;204;3.1;3.3;OK
delegado 184: ;147;3.3;3.3;OK
delegado 185: ;177;3.3;3.3;OK
delegado 186: ;218;3.3;2.5;OK
delegado 187: ;193;2.5;2.5;OK
delegado 188: ;152;2.5;2.5;OK
delegado 189: ;180;2.5;3.2;OK
delegado 190: ;182;3.2;3.2;OK
delegado 191: ;189;3.2;3.2;OK
delegado 192: ;146;3.2;5.2;OK
delegado 193: ;247;5.2;5.2;OK
delegado 194: ;158;5.2;5.2;OK
delegado 195: ;162;5.2;1.7;OK
delegado 196: ;207;1.7;1.7;OK
delegado 197: ;219;1.7;1.7;OK
delegado 198: ;211;4.6;4.6;OK
delegado 199: ;187;4.6;4.6;OK
delegado 200: ;146;4.6;4.4;OK
delegado 201: ;206;4.4;4.4;OK
delegado 202: ;297;4.4;2.7;OK
delegado 203: ;182;2.7;2.7;OK
delegado 204: ;185;2.7;2.7;OK
delegado 205: ;181;2.7;2.4;OK
delegado 206: ;161;2.4;2.4;OK
delegado 207: ;205;2.4;2.4;OK
delegado 208: ;177;2.4;4.3;OK
delegado 209: ;179;4.3;4.3;OK
delegado 210: ;261;4.3;4.3;OK
delegado 211: ;179;3.7;3.7;OK
delegado 212: ;180;3.7;3.7;OK
delegado 213: ;221;3.7;4.2;OK
delegado 214: ;166;4.2;4.2;OK
delegado 215: ;179;4.2;4.2;OK
delegado 216: ;273;4.2;3.3;OK
delegado 217: ;185;3.3;3.3;OK
delegado 218: ;172;3.3;3.3;OK
delegado 219: ;248;3.3;3.9;OK
delegado 220: ;268;3.9;3.9;OK
delegado 221: ;178;3.9;3.8;OK
delegado 222: ;181;3.8;3.8;OK
delegado 223: ;205;3.8;3.8;OK
delegado 224: ;204;3.8;2.2;OK
delegado 225: ;168;2.2;2.2;OK
delegado 226: ;222;2.2;2.2;OK
delegado 227: ;167;2.2;4.7;OK
delegado 228: ;247;4.7;4.7;OK
delegado 229: ;178;4.7;4.7;OK
delegado 230: ;196;3.8;3.8;OK
delegado 231: ;256;3.8;3.8;OK
delegado 232: ;181;3.0;3.0;OK
delegado 233: ;173;3.0;3.0;OK
delegado 234: ;187;3.0;3.1;OK
delegado 235: ;177;3.1;3.1;OK
delegado 236: ;305;3.1;2.1;OK
delegado 237: ;172;2.1;2.1;OK
delegado 238: ;186;2.1;2.1;OK
delegado 239: ;228;2.1;4.6;OK
delegado 240: ;237;4.6;4.6;OK
delegado 241: ;163;4.6;4.6;OK
delegado 242: ;164;4.6;3.0;OK
delegado 243: ;190;3.0;3.0;OK
delegado 244: ;190;3.0;3.0;OK
delegado 245: ;216;3.0;3.4;OK
delegado 246: ;194;3.4;3.4;OK
delegado 247: ;235;3.4;3.4;OK
delegado 248: ;168;3.4;3.4;OK
delegado 249: ;192;3.4;3.4;OK
delegado 250: ;208;3.4;3.4;OK
delegado 251: ;198;3.4;4.0;OK
delegado 252: ;205;4.0;4.0;OK
delegado 253: ;220;4.0;4.0;OK
delegado 254: ;233;4.0;4.2;OK
delegado 255: ;171;4.2;4.2;OK
delegado 256: ;183;4.2;4.2;OK
delegado 257: ;154;4.2;7.2;OK
delegado 258: ;224;7.2;7.2;OK
delegado 259: ;198;7.2;7.2;OK
delegado 260: ;203;7.2;2.2;OK
