Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 1: ;1591;0.0;38.6;OK
delegado 0: ;1594;0.0;38.6;OK
delegado 3: ;180;38.6;38.6;OK
delegado 2: ;178;38.6;38.6;OK
delegado 5: ;218;38.6;8.4;OK
delegado 4: ;253;38.6;8.4;OK
delegado 7: ;160;8.4;8.4;OK
delegado 6: ;173;8.4;8.4;OK
delegado 9: ;159;8.4;8.4;OK
delegado 8: ;160;8.4;8.4;OK
delegado 11: ;212;8.4;10.2;OK
delegado 10: ;205;8.4;10.2;OK
delegado 12: ;141;10.2;10.2;OK
delegado 13: ;162;10.2;10.2;OK
delegado 15: ;172;10.2;10.2;OK
delegado 14: ;241;10.2;10.2;OK
delegado 17: ;116;10.2;11.8;OK
delegado 16: ;242;10.2;11.8;OK
delegado 18: ;125;11.8;11.8;OK
delegado 19: ;164;11.8;11.8;OK
delegado 20: ;124;11.8;11.8;OK
delegado 21: ;136;11.8;11.8;OK
delegado 22: ;141;11.8;11.8;OK
delegado 23: ;157;11.8;11.2;OK
delegado 24: ;200;11.2;11.2;OK
delegado 25: ;126;11.2;11.2;OK
delegado 26: ;166;11.2;11.2;OK
delegado 27: ;156;11.2;11.2;OK
delegado 28: ;138;11.2;8.9;OK
delegado 29: ;109;11.2;8.9;OK
delegado 30: ;149;8.9;8.9;OK
delegado 31: ;208;8.9;8.9;OK
delegado 32: ;178;8.9;8.9;OK
delegado 33: ;144;8.9;8.9;OK
delegado 34: ;154;8.9;9.6;OK
delegado 35: ;173;8.9;9.6;OK
delegado 36: ;128;9.6;9.6;OK
delegado 37: ;132;9.6;9.6;OK
delegado 38: ;164;9.6;9.6;OK
delegado 39: ;124;9.6;9.6;OK
delegado 41: ;122;9.6;10.7;OK
delegado 40: ;141;9.6;10.7;OK
delegado 42: ;149;10.7;10.7;OK
delegado 43: ;211;10.7;10.7;OK
delegado 44: ;168;10.7;10.7;OK
delegado 45: ;112;10.7;10.7;OK
delegado 46: ;172;10.7;8.7;OK
delegado 47: ;153;10.7;8.7;OK
delegado 49: ;105;8.7;8.7;OK
delegado 48: ;166;8.7;8.7;OK
delegado 50: ;140;8.7;8.7;OK
delegado 51: ;112;8.7;8.7;OK
delegado 52: ;115;8.7;8.7;OK
delegado 53: ;158;8.7;11.4;OK
delegado 54: ;111;8.7;11.4;OK
delegado 55: ;122;11.4;11.4;OK
delegado 56: ;111;11.4;11.4;OK
delegado 57: ;161;11.4;11.4;OK
delegado 58: ;168;11.4;11.4;OK
delegado 59: ;155;11.4;10.0;OK
delegado 60: ;158;11.4;10.0;OK
delegado 61: ;137;10.0;10.0;OK
delegado 62: ;124;10.0;10.0;OK
delegado 63: ;224;10.0;10.0;OK
delegado 64: ;221;10.0;10.0;OK
delegado 65: ;126;10.0;10.7;OK
delegado 66: ;168;10.0;10.7;OK
delegado 67: ;136;10.7;10.7;OK
delegado 69: ;142;10.7;10.7;OK
delegado 68: ;270;10.7;10.7;OK
delegado 70: ;163;10.7;11.6;OK
delegado 71: ;149;10.7;11.6;OK
delegado 72: ;132;11.6;11.6;OK
delegado 73: ;114;11.6;11.6;OK
delegado 75: ;204;11.6;11.6;OK
delegado 74: ;229;11.6;11.6;OK
delegado 76: ;173;8.1;8.1;OK
delegado 77: ;171;8.1;8.1;OK
delegado 78: ;168;8.1;8.1;OK
delegado 79: ;147;8.1;8.1;OK
delegado 80: ;135;8.1;10.5;OK
delegado 81: ;192;8.1;10.5;OK
delegado 83: ;171;10.5;10.5;OK
delegado 82: ;190;10.5;10.5;OK
delegado 84: ;177;10.5;0.0;OK
delegado 85: ;177;10.5;0.0;OK
delegado 86: ;207;0.0;0.0;OK
delegado 87: ;246;0.0;0.0;OK
delegado 88: ;196;0.0;0.0;OK
delegado 89: ;165;0.0;0.0;OK
delegado 91: ;132;10.5;10.5;OK
delegado 90: ;153;10.5;10.5;OK
delegado 93: ;183;10.5;10.5;OK
